AVRIL ET LE MONDE TRUQUÉ;2015;
BARRY LINDON;1976;
SPARTACUS;1961;
MYSTIC RIVER;2003;
IMPITOYABLE;1992;
EN MAI FAIS CE QU'IL TE PLAÎT;2015;
SHINING;1980;
LE PRIX DU DANGER;1985;
TWO JAKES;1990;
LES INFILTRÉS;2006;
ANATOMIE 2;2003;
AND SOON THE DARKNESS;1970;
ANGEL EYES;1993;
ANGLE MORT;2012;
ANGOISSES;1983;
ANTIBODIES;2006;
ANTIVIRAL;2012;
APARTMENT ZERO;1988;
APOLOGY;1986;
APPARTEMENT 512;1994;
APPELEZ NORD 777;1948;
APPETITE;1997;
ARBITRAGE;2011;
ARGO;2011;
ASSASSINS;1995;
ASSOCIATION CRIMINELLE;1955;
ASSURANCE SUR LA MORT;1944;
AU BENEFICE DU DOUTE;1993;
AU NOM DE LA LOI;1986;
AU PAIR;1990;
AUX YEUX DE TOUS;2011;
AVANT D'ALLER DORMIR;2014;
AVANT L'AUBE;2010;
BACK IN THE U.S.S.R.;1992;
BACKSLIDING;1991;
BAD INFLUENCE;1990;
BAGARRE AU-DESSUS DE L'ATLANTIQUE;1959;
BAJA;1995;
BALADE ENTRE LES TOMBES;2014;
BANTER;1986;
BAS LES MASQUES;1952;
BASIC INSTINCT;1992;
BASSI ISTINTI;1991;
BEAUCOUP DE BRUIT POUR RIEN;2012;
BEDROOM EYES II;1986;
BEHIND THE MASK;1946;
BEIJING EXPRESS;1995;
BETRAYAL OF THE DOVE;1993;
BEWARE MY LOVELY;1952;
BEZETEN - HET GAT IN DE MUUR;1968;
HEAR NO EVIL;1993;
HELLHOLE;1985;
HIDER IN THE HOUSE;1988;
HIPOTESIS;2013;
HITCHER IN THE DARK;1990;
HOLD-UP;2011;
HORS D'HALEINE;1987;
HORS DE CONTROLE;2009;
HOSTILE TAKEOVER;1988;
HOT SPOT;1990;
HOT TARGET;1985;
HOUR OF THE ASSASSIN;1987;
HOUSE OF DARKNESS;1948;
HUNTING;1990;
HYSTERIA;1964;
I CORPI PRESENTANO TRACCE DI VIOLENZA CARNALE;1973;
I LOVE YOU BABY;2000;
ICI COMMENCE L'ENFER;1997;
IDENTIKIT;1974;
IDENTITY;2003;
IL ETAIT UNE FOIS BROADWAY;1989;
IL SESSO DEL DIAVOLO;1971;
ILL MANORS;2012;
ILLEGAL TRAFFIC;2008;
IMAGEMAKER;1986;
IN A MOMENT OF PASSION;1993;
IN THE COLD LIGHT OF DAY;1995;
IN THE CUT;2003;
INCIDENT AT RAVEN'S GATE;1988;
INDECENT BEHAVIOR;1993;
INDECENT BEHAVIOR III;1995;
INFERNAL AFFAIRS;2002;
INNOCENT VICTIM;1990;
INSAISISSABLES;2013;
INSIDE;2011;
INSIDE MAN;2006;
INSOMNIA;2002;
INSOUPCONNABLE;1995;
INSOUPCONNABLE;2010;
INTERSECTIONS;2012;
MALICE;1993;
MALVEILLANCE;2010;
MANDAT D'ARRET;1968;
MANIAC COP;1988;
MARCHE DE BRUTES;1948;
MARGE D'ERREUR;1943;
MASTERMINDS;1997;
MAX PAYNE;2008;
